,,,
ACE,NoLabel,Hiper,
ACE,1,1,
ACE2,1,0,
ANP,0,0,
AT1R,0,1,
AT2R,1,1,
Aldosterona,0,1,
Ang17,1,0,
Ang19,1,0,
AngI,1,1,
AngII,0,1,
BDKRB1,0,1,
BDKRB2,0,0,
Bradykinin,0,0,
CPN,1,1,
IFNa,0,1,
IFNG,0,1,
IL10,1,0,
IL12,0,1,
IL1B,0,1,
IL6,0,1,
KLKB1,1,1,
MasR,1,0,
NEP,1,0,
NFkB,0,1,
PGE2,0,1,
PRCP,1,1,
Renin,1,1,
TNFa,0,1,
desArg9BK,0,0,
,,,
ACE2,Hipo,,
ACE,0,,
ACE2,1,,
ANP,0,,
AT1R,0,,
AT2R,1,,
Aldosterona,0,,
Ang17,1,,
Ang19,1,,
AngI,1,,
AngII,0,,
BDKRB1,0,,
BDKRB2,1,,
Bradykinin,1,,
CPN,1,,
IFNa,0,,
IFNG,0,,
IL10,1,,
IL12,1,,
IL1B,0,,
IL6,0,,
KLKB1,1,,
MasR,1,,
NEP,1,,
NFkB,0,,
PGE2,0,,
PRCP,1,,
Renin,1,,
TNFa,0,,
desArg9BK,0,,
,,,
ANP,Hiper,Hipo,
ACE,1,0,
ACE2,0,1,
ANP,1,1,
AT1R,1,0,
AT2R,1,1,
Aldosterona,0,0,
Ang17,0,1,
Ang19,0,1,
AngI,1,1,
AngII,1,0,
BDKRB1,1,0,
BDKRB2,0,1,
Bradykinin,0,1,
CPN,1,1,
IFNa,1,0,
IFNG,1,0,
IL10,0,1,
IL12,1,1,
IL1B,1,0,
IL6,1,0,
KLKB1,1,1,
MasR,0,1,
NEP,0,1,
NFkB,1,0,
PGE2,1,0,
PRCP,1,1,
Renin,1,1,
TNFa,1,0,
desArg9BK,0,0,
,,,
AT1R,Hiper,,
ACE,1,,
ACE2,0,,
ANP,0,,
AT1R,1,,
AT2R,1,,
Aldosterona,1,,
Ang17,0,,
Ang19,0,,
AngI,1,,
AngII,1,,
BDKRB1,1,,
BDKRB2,0,,
Bradykinin,0,,
CPN,1,,
IFNa,1,,
IFNG,1,,
IL10,0,,
IL12,1,,
IL1B,1,,
IL6,1,,
KLKB1,1,,
MasR,0,,
NEP,0,,
NFkB,1,,
PGE2,1,,
PRCP,1,,
Renin,1,,
TNFa,1,,
desArg9BK,0,,
,,,
AT2R,Hiper,Hipo,
ACE,1,0,
ACE2,0,1,
ANP,0,0,
AT1R,1,0,
AT2R,1,1,
Aldosterona,1,0,
Ang17,0,1,
Ang19,0,1,
AngI,1,1,
AngII,1,0,
BDKRB1,1,0,
BDKRB2,0,1,
Bradykinin,0,1,
CPN,1,1,
IFNa,1,0,
IFNG,1,0,
IL10,0,1,
IL12,1,1,
IL1B,1,0,
IL6,1,0,
KLKB1,1,1,
MasR,0,1,
NEP,0,1,
NFkB,1,0,
PGE2,1,0,
PRCP,1,1,
Renin,1,1,
TNFa,1,0,
desArg9BK,0,0,
,,,
Aldosterona,Hiper,Hipo,
ACE,1,0,
ACE2,0,1,
ANP,0,0,
AT1R,1,0,
AT2R,1,1,
Aldosterona,1,1,
Ang17,0,1,
Ang19,0,1,
AngI,1,1,
AngII,1,0,
BDKRB1,1,0,
BDKRB2,0,1,
Bradykinin,0,1,
CPN,1,1,
IFNa,1,0,
IFNG,1,0,
IL10,0,1,
IL12,1,1,
IL1B,1,0,
IL6,1,0,
KLKB1,1,1,
MasR,0,1,
NEP,0,1,
NFkB,1,0,
PGE2,1,0,
PRCP,1,1,
Renin,1,1,
TNFa,1,0,
desArg9BK,0,0,
,,,
Ang17,Hipo,Hipo,
ACE,0,0,
ACE2,1,1,
ANP,1,0,
AT1R,0,0,
AT2R,1,1,
Aldosterona,0,0,
Ang17,1,1,
Ang19,1,1,
AngI,1,1,
AngII,0,0,
BDKRB1,0,0,
BDKRB2,1,1,
Bradykinin,1,1,
CPN,1,1,
IFNa,1,0,
IFNG,1,0,
IL10,0,1,
IL12,1,1,
IL1B,0,0,
IL6,0,0,
KLKB1,1,1,
MasR,1,1,
NEP,0,1,
NFkB,1,0,
PGE2,0,0,
PRCP,1,1,
Renin,1,1,
TNFa,1,0,
desArg9BK,0,0,
,,,
Ang19,Hipo,,
ACE,0,,
ACE2,1,,
ANP,0,,
AT1R,0,,
AT2R,1,,
Aldosterona,0,,
Ang17,1,,
Ang19,1,,
AngI,1,,
AngII,0,,
BDKRB1,0,,
BDKRB2,1,,
Bradykinin,1,,
CPN,1,,
IFNa,0,,
IFNG,0,,
IL10,1,,
IL12,1,,
IL1B,0,,
