"","UP_ACE.Hiper","UP_ACE.Hiper.1","Hipo","UP_Aldosterone.Hipo","UP_Aldosterone.Hiper","Hipo.1","Hipo.2","UP_AngI.Hiper","UP_AngI.Hipo","UP_AngII.NoLabel","UP_AngII.Hiper","UP_ANP.Hiper","UP_ANP.Hipo","Hiper","UP_AT2R.Hiper","UP_AT2R.Hipo","UP_BDKRB1.Hiper","UP_BDKRB1.Hipo","UP_BDKRB2.Hiper","UP_BDKRB2.Hipo","UP_Bradykinin.Hipo","UP_Bradykinin.Hiper","UP_CPN.Hiper","UP_CPN.Hipo","UP_desArg9BK.Hiper","UP_desArg9BK.Hipo","UP_IFNa.Hiper","UP_IFNa.Hipo","UP_IFNG.NoLabel","UP_IFNG.Hiper","UP_IL10.Hipo","UP_IL10.NoLabel","UP_IL12.Hiper","UP_IL12.Hipo","UP_IL1B.Hiper","UP_IL1B.Hipo","UP_IL6.Hiper","UP_IL6.Hipo","UP_KLKB1.Hipo","UP_KLKB1.Hiper","UP_MasR.Hiper","UP_MasR.Hipo","Hipo.3","Hiper.1","UP_PGE2.Hiper","UP_PGE2.Hipo","UP_PRCP.Hiper","UP_PRCP.Hipo","UP_Renin.Hiper","UP_Renin.Hipo","UP_TNFa.NoLabel","UP_TNFa.Hiper","UP_TNFa.Hipo"
"ACE",1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
"ACE2",0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1
"Aldosterone",1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
"Ang17",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ang19",0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1
"AngI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AngII",1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
"ANP",0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1
"AT1R",1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
"AT2R",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
