contrast,estimate,SE,df,t.ratio,p.value
"Hypertension,DW_ACE - Hypertension,DW_ANP",-251.0000000000010,2.2522792073601400,688,-111.44266624660300,0
"Hypertension,DW_ACE - Hypertension,DW_IFNG",-1.08002495835535E-12,2.2522792073601400,688,-4.79525342517916E-13,1
"Hypertension,DW_ACE - Hypertension,UP_ACE2",-100.49999999999800,2.2412114292878600,688,-44.84182022573900,2.06079464236675E-204
"Hypertension,DW_ACE - Hypertension,UP_IL10",-151.00000000000200,2.2522792073601400,688,-67.04319762245920,6.21427399390283E-302
"Hypertension,DW_ACE - Hypertension,UP_NEP",-2.21689333557151E-12,2.252279207360150,688,-9.84288860957826E-13,1
"Hypertension,DW_ACE - Hypertension,WT",-201.00000000000100,2.2522792073601500,688,-89.24293193453070,0
"Hypertension,DW_ACE - Hypotension,DW_ACE",-602.0000000000070,2.252279207360150,688,-267.28480111735200,0
"Hypertension,DW_ACE - Hypotension,DW_ANP",-351.00000000000100,2.2522792073601400,688,-155.84213487074800,0
"Hypertension,DW_ACE - Hypotension,DW_IFNG",-401.0000000000020,2.2522792073601500,688,-178.0418691828210,0
"Hypertension,DW_ACE - Hypotension,UP_ACE2",-501.5000000000030,2.2412114292878600,688,-223.76291386277400,0
"Hypertension,DW_ACE - Hypotension,UP_IL10",-301.0000000000020,2.2522792073601400,688,-133.642400558676,0
"Hypertension,DW_ACE - Hypotension,UP_NEP",-552.0000000000020,2.252279207360150,688,-245.08506680527900,0
"Hypertension,DW_ACE - Hypotension,WT",-451.0000000000010,2.2522792073601400,688,-200.24160349489300,0
"Hypertension,DW_ANP - Hypertension,DW_IFNG",250.99999999999900,2.252279207360140,688,111.44266624660300,0
"Hypertension,DW_ANP - Hypertension,UP_ACE2",150.50000000000300,2.2412114292878600,688,67.1511835221292,2.37774635817001E-302
"Hypertension,DW_ANP - Hypertension,UP_IL10",99.9999999999987,2.252279207360140,688,44.399468624144100,3.28516428989991E-202
"Hypertension,DW_ANP - Hypertension,UP_NEP",250.9999999999980,2.2522792073601500,688,111.44266624660200,0
"Hypertension,DW_ANP - Hypertension,WT",49.99999999999990,2.2522792073601500,688,22.19973431207220,8.4936163919876E-81
"Hypertension,DW_ANP - Hypotension,DW_ACE",-351.00000000000600,2.2522792073601500,688,-155.8421348707500,0
"Hypertension,DW_ANP - Hypotension,DW_ANP",-100.00000000000000,2.2522792073601400,688,-44.39946862414470,3.28516428987581E-202
"Hypertension,DW_ANP - Hypotension,DW_IFNG",-150.00000000000100,2.252279207360150,688,-66.59920293621740,3.26628798686065E-300
"Hypertension,DW_ANP - Hypotension,UP_ACE2",-250.50000000000200,2.2412114292878500,688,-111.76991011490500,0
"Hypertension,DW_ANP - Hypotension,UP_IL10",-50.00000000000120,2.252279207360140,688,-22.199734312072800,8.49361639191383E-81
"Hypertension,DW_ANP - Hypotension,UP_NEP",-301.00000000000100,2.2522792073601500,688,-133.64240055867600,0
"Hypertension,DW_ANP - Hypotension,WT",-200.00000000000000,2.252279207360150,688,-88.79893724828930,0
"Hypertension,DW_IFNG - Hypertension,UP_ACE2",-100.49999999999700,2.2412114292878600,688,-44.84182022573860,2.06079464237578E-204
"Hypertension,DW_IFNG - Hypertension,UP_IL10",-151.00000000000100,2.252279207360140,688,-67.04319762245870,6.21427399392827E-302
"Hypertension,DW_IFNG - Hypertension,UP_NEP",-1.13686837721616E-12,2.2522792073601500,688,-5.04763518439911E-13,1
"Hypertension,DW_IFNG - Hypertension,WT",-201.00000000000000,2.252279207360150,688,-89.24293193453030,0
"Hypertension,DW_IFNG - Hypotension,DW_ACE",-602.0000000000060,2.2522792073601500,688,-267.2848011173520,0
"Hypertension,DW_IFNG - Hypotension,DW_ANP",-351.00000000000000,2.2522792073601400,688,-155.8421348707470,0
"Hypertension,DW_IFNG - Hypotension,DW_IFNG",-401.0000000000010,2.2522792073601400,688,-178.0418691828200,0
"Hypertension,DW_IFNG - Hypotension,UP_ACE2",-501.5000000000020,2.241211429287850,688,-223.76291386277400,0
"Hypertension,DW_IFNG - Hypotension,UP_IL10",-301.0000000000010,2.2522792073601400,688,-133.64240055867600,0
"Hypertension,DW_IFNG - Hypotension,UP_NEP",-552.0000000000010,2.2522792073601500,688,-245.08506680527800,0
"Hypertension,DW_IFNG - Hypotension,WT",-451.00000000000000,2.2522792073601400,688,-200.2416034948920,0
"Hypertension,UP_ACE2 - Hypertension,UP_IL10",-50.50000000000390,2.241211429287860,688,-22.532456929353700,1.13268706169262E-82
"Hypertension,UP_ACE2 - Hypertension,UP_NEP",100.49999999999600,2.2412114292878600,688,44.841820225738100,2.06079464238879E-204
"Hypertension,UP_ACE2 - Hypertension,WT",-100.50000000000300,2.24121142928787,688,-44.84182022574100,2.06079464232011E-204
"Hypertension,UP_ACE2 - Hypotension,DW_ACE",-501.5000000000090,2.2412114292878700,688,-223.7629138627750,0
"Hypertension,UP_ACE2 - Hypotension,DW_ANP",-250.50000000000300,2.2412114292878600,688,-111.76991011490500,0
"Hypertension,UP_ACE2 - Hypotension,DW_IFNG",-300.50000000000400,2.24121142928786,688,-134.07927341129400,0
"Hypertension,UP_ACE2 - Hypotension,UP_ACE2",-401.00000000000500,2.2300887232651100,688,-179.81347370471200,0
"Hypertension,UP_ACE2 - Hypotension,UP_IL10",-200.50000000000400,2.241211429287860,688,-89.46054681851780,0
"Hypertension,UP_ACE2 - Hypotension,UP_NEP",-451.5000000000040,2.2412114292878600,688,-201.45355056638600,0
"Hypertension,UP_ACE2 - Hypotension,WT",-350.5000000000030,2.2412114292878600,688,-156.38863670768100,0
"Hypertension,UP_IL10 - Hypertension,UP_NEP",151.0000000000000,2.2522792073601400,688,67.04319762245830,6.21427399395229E-302
"Hypertension,UP_IL10 - Hypertension,WT",-49.999999999998800,2.25227920736015,688,-22.199734312071700,8.49361639203502E-81
"Hypertension,UP_IL10 - Hypotension,DW_ACE",-451.00000000000500,2.2522792073601500,688,-200.24160349489400,0
"Hypertension,UP_IL10 - Hypotension,DW_ANP",-199.99999999999900,2.2522792073601400,688,-88.79893724828890,0
"Hypertension,UP_IL10 - Hypotension,DW_IFNG",-250.00000000000000,2.2522792073601400,688,-110.99867156036200,0
"Hypertension,UP_IL10 - Hypotension,UP_ACE2",-350.5000000000010,2.2412114292878600,688,-156.38863670768100,0
"Hypertension,UP_IL10 - Hypotension,UP_IL10",-150.0000000000000,2.252279207360140,688,-66.59920293621700,3.26628798687291E-300
"Hypertension,UP_IL10 - Hypotension,UP_NEP",-401.00000000000000,2.2522792073601400,688,-178.04186918282000,0
"Hypertension,UP_IL10 - Hypotension,WT",-299.9999999999990,2.2522792073601400,688,-133.19840587243300,0
"Hypertension,UP_NEP - Hypertension,WT",-200.9999999999980,2.2522792073601500,688,-89.24293193452960,0
"Hypertension,UP_NEP - Hypotension,DW_ACE",-602.0000000000050,2.252279207360150,688,-267.2848011173520,0
"Hypertension,UP_NEP - Hypotension,DW_ANP",-350.9999999999990,2.252279207360140,688,-155.84213487074700,0
"Hypertension,UP_NEP - Hypotension,DW_IFNG",-401.0000000000000,2.252279207360140,688,-178.04186918282000,0
"Hypertension,UP_NEP - Hypotension,UP_ACE2",-501.50000000000000,2.241211429287860,688,-223.76291386277300,0
"Hypertension,UP_NEP - Hypotension,UP_IL10",-301.0000000000000,2.252279207360140,688,-133.6424005586750,0
"Hypertension,UP_NEP - Hypotension,UP_NEP",-552.0000000000000,2.252279207360150,688,-245.08506680527800,0
"Hypertension,UP_NEP - Hypotension,WT",-450.99999999999900,2.252279207360150,688,-200.2416034948910,0
"Hypertension,WT - Hypotension,DW_ACE",-401.00000000000600,2.2522792073601600,688,-178.04186918282100,0
"Hypertension,WT - Hypotension,DW_ANP",-150.00000000000000,2.252279207360150,688,-66.59920293621670,3.26628798688182E-300
"Hypertension,WT - Hypotension,DW_IFNG",-200.00000000000100,2.252279207360150,688,-88.79893724828940,0
"Hypertension,WT - Hypotension,UP_ACE2",-300.50000000000200,2.2412114292878600,688,-134.07927341129300,0
"Hypertension,WT - Hypotension,UP_IL10",-100.00000000000100,2.2522792073601500,688,-44.399468624144900,3.28516428986647E-202
"Hypertension,WT - Hypotension,UP_NEP",-351.00000000000100,2.252279207360150,688,-155.84213487074700,0
"Hypertension,WT - Hypotension,WT",-250,2.2522792073601600,688,-110.99867156036100,0
"Hypotension,DW_ACE - Hypotension,DW_ANP",251.00000000000600,2.252279207360150,688,111.44266624660500,0
"Hypotension,DW_ACE - Hypotension,DW_IFNG",201.00000000000500,2.2522792073601500,688,89.24293193453260,0
"Hypotension,DW_ACE - Hypotension,UP_ACE2",100.50000000000400,2.241211429287860,688,44.84182022574190,2.06079464229983E-204
"Hypotension,DW_ACE - Hypotension,UP_IL10",301.0000000000050,2.2522792073601500,688,133.64240055867700,0
"Hypotension,DW_ACE - Hypotension,UP_NEP",50.000000000005100,2.2522792073601600,688,22.199734312074500,8.49361639173459E-81
"Hypotension,DW_ACE - Hypotension,WT",151.00000000000600,2.2522792073601500,688,67.04319762246090,6.21427399381097E-302
"Hypotension,DW_ANP - Hypotension,DW_IFNG",-50.000000000001000,2.2522792073601400,688,-22.199734312072700,8.49361639192278E-81
