Genotype,Hypertension,Hypotension,No_label
WT,188,729,83
WT,188,728,84
WT,187,730,83
WT,189,729,82
WT,189,727,84
WT,187,730,83
WT,190,725,85
WT,189,726,85
WT,189,728,83
WT,187,730,83
WT,189,727,84
WT,190,725,85
WT,188,729,83
WT,189,728,83
WT,188,729,83
WT,189,728,83
WT,189,727,84
WT,187,730,83
WT,189,727,84
WT,188,729,83
WT,188,728,84
WT,189,727,84
WT,188,729,83
WT,188,728,84
WT,188,728,84
WT,187,729,84
WT,189,728,83
WT,189,727,84
WT,189,728,83
WT,190,726,84
WT,187,731,82
WT,189,728,83
WT,190,726,84
WT,189,728,83
WT,189,727,84
WT,189,726,85
WT,188,728,84
WT,188,730,82
WT,188,729,83
WT,188,728,84
WT,188,728,84
WT,189,727,84
WT,189,727,84
WT,188,728,84
WT,189,728,83
WT,190,727,83
WT,188,729,83
WT,186,730,84
WT,189,728,83
WT,189,727,84
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
ACE-,0,1000,0
